satisfaction,important_recognitionAchievements,satisfied_careerAdvance,satisfied_recognitionAchievements,age,gender,ethnicity,country
2,Extremely important,1,1,41-50 years,Male,Asian,Pakistan
4,Extremely important,4,4,26-30 years,Female,Asian,Indonesia
5,Extremely important,4,5,26-30 years,Female,Asian,United Kingdom
4,Extremely important,1,1,41-50 years,Male,White,United Kingdom
4,Extremely important,4,5,41-50 years,Male,Asian,India
2,Extremely important,2,1,26-30 years,Female,White,Switzerland
4,Extremely important,2,2,61-70 years,Male,White,United States
1,Extremely important,1,1,31-40 years,Female,White,United Kingdom
5,Extremely important,5,5,26-30 years,Male,White,United Kingdom
4,Extremely important,4,4,41-50 years,Female,White,South Africa
1,Extremely important,1,1,51-60 years,Male,Asian,United States
5,Extremely important,2,5,41-50 years,Female,White,United Kingdom
4,Extremely important,5,5,51-60 years,Female,Black / African American / Caribbean,United Kingdom
4,Extremely important,4,4,41-50 years,Male,White,Iran
5,Extremely important,5,5,41-50 years,Male,White,Germany
5,Extremely important,4,4,51-60 years,Female,White,United Kingdom
4,Extremely important,4,4,31-40 years,Male,White,United States
5,Extremely important,4,4,41-50 years,Female,White,United Kingdom
5,Extremely important,4,5,31-40 years,Male,White,United States
4,Extremely important,2,5,61-70 years,Female,White,United States
5,Extremely important,4,5,31-40 years,Female,White,United Kingdom
5,Extremely important,5,4,26-30 years,Male,White,United Kingdom
3,Extremely important,2,2,31-40 years,Female,White,United States
2,Extremely important,2,2,I’d prefer not to say,I’d prefer not to say,I’d prefer not to say,United Kingdom
4,Extremely important,2,2,31-40 years,Female,Hispanic / Latino,Ecuador
4,Extremely important,1,4,31-40 years,Female,White,South Africa
4,Extremely important,1,4,31-40 years,Male,Hispanic / Latino,Brazil
2,Extremely important,2,2,41-50 years,Male,Hispanic / Latino,Brazil
5,Extremely important,5,5,26-30 years,Female,Mixed ethnicity,United States
4,Extremely important,2,1,51-60 years,Female,White,United States
5,Extremely important,4,4,51-60 years,Female,White,United States
2,Extremely important,2,4,26-30 years,Female,White,Canada
5,Extremely important,5,4,61-70 years,Female,Hispanic / Latino,Argentina
4,Extremely important,2,4,31-40 years,Male,White,Canada
5,Extremely important,4,4,41-50 years,Male,White,United States
4,Extremely important,2,2,31-40 years,Female,White,Switzerland
4,Extremely important,4,4,41-50 years,Male,White,Germany
2,Extremely important,1,2,31-40 years,Female,Mixed ethnicity,United States
2,Extremely important,2,4,61-70 years,Female,White,United States
1,Extremely important,1,1,31-40 years,Male,Hispanic / Latino,United States
4,Extremely important,2,5,61-70 years,Female,White,United States
4,Extremely important,5,4,31-40 years,Female,White,United States
5,Extremely important,4,5,31-40 years,Male,White,France
2,Extremely important,1,1,41-50 years,Male,White,Spain
1,Extremely important,1,1,41-50 years,Female,Hispanic / Latino,Argentina
3,Extremely important,2,1,I’d prefer not to say,I’d prefer not to say,I’d prefer not to say,United States
5,Extremely important,4,4,61-70 years,Male,Asian,United States
5,Extremely important,4,4,80 years +,Male,White,United States
4,Extremely important,5,5,31-40 years,Male,White,United States
5,Extremely important,4,5,31-40 years,Non-binary,I prefer to self-describe,Spain
1,Extremely important,1,2,31-40 years,Female,White,United Kingdom
4,Extremely important,4,4,26-30 years,Female,White,United States
4,Extremely important,4,4,31-40 years,Male,White,United States
4,Extremely important,1,1,41-50 years,Male,I’d prefer not to say,Italy
1,Extremely important,1,1,41-50 years,Female,White,United States
2,Extremely important,1,1,61-70 years,Male,White,United States
2,Extremely important,1,2,31-40 years,Female,White,Italy
5,Extremely important,2,2,51-60 years,Female,White,Brazil
1,Extremely important,4,2,31-40 years,Female,Hispanic / Latino,Uruguay
4,Extremely important,4,5,31-40 years,Female,Hispanic / Latino,United States
5,Extremely important,5,5,41-50 years,Male,Asian,United States
2,Extremely important,2,4,22-25 years,Male,White,Portugal
2,Extremely important,1,1,51-60 years,Female,White,Portugal
1,Extremely important,2,1,31-40 years,Female,White,United States
4,Extremely important,5,4,31-40 years,Male,White,United States
2,Extremely important,2,4,26-30 years,Male,White,Italy
4,Extremely important,2,5,31-40 years,Female,White,United States
4,Extremely important,4,4,26-30 years,Female,White,United Kingdom
2,Extremely important,2,1,31-40 years,Female,I’d prefer not to say,Turkey
4,Extremely important,4,5,31-40 years,Male,White,United States
5,Extremely important,4,5,31-40 years,Female,Asian,United States
4,Extremely important,2,2,31-40 years,Male,I’d prefer not to say,Italy
5,Extremely important,4,5,61-70 years,Female,White,Canada
2,Extremely important,1,4,31-40 years,Male,Asian,United States
2,Extremely important,1,2,61-70 years,Female,White,Argentina
1,Extremely important,1,1,61-70 years,Female,White,Brazil
4,Extremely important,1,5,26-30 years,Male,Asian,Pakistan
4,Extremely important,2,2,26-30 years,Female,Mixed ethnicity,United Kingdom
4,Extremely important,5,2,51-60 years,Male,Black / African American / Caribbean,United States
2,Extremely important,1,4,26-30 years,Male,White,Poland
1,Extremely important,5,1,61-70 years,Male,White,Portugal
2,Extremely important,1,1,51-60 years,Female,White,Canada
2,Extremely important,1,1,31-40 years,Male,Asian,United States
5,Extremely important,5,4,41-50 years,Male,White,Poland
5,Extremely important,4,4,61-70 years,Male,White,United States
4,Extremely important,1,4,41-50 years,Female,Mixed ethnicity,Argentina
2,Extremely important,2,4,31-40 years,Female,Black / African American / Caribbean,Sudan
4,Extremely important,4,4,51-60 years,Female,White,Australia
1,Extremely important,2,1,61-70 years,Female,White,United States
2,Extremely important,4,2,51-60 years,Female,Hispanic / Latino,Brazil
4,Extremely important,4,4,51-60 years,Female,White,France
3,Extremely important,4,4,31-40 years,Male,White,Paraguay
5,Extremely important,5,4,31-40 years,Female,White,United States
5,Extremely important,1,5,31-40 years,Male,Hispanic / Latino,United Kingdom
4,Extremely important,4,4,51-60 years,Female,Asian,Australia
4,Extremely important,4,4,31-40 years,Male,I prefer to self-describe,Switzerland
2,Extremely important,1,2,41-50 years,Male,White,United States
5,Extremely important,4,5,41-50 years,Male,White,United States
4,Extremely important,2,4,31-40 years,Female,White,Australia
1,Extremely important,1,1,41-50 years,I’d prefer not to say,White,United States
3,Extremely important,4,2,31-40 years,Female,White,United States
2,Extremely important,1,1,41-50 years,Female,White,Australia
1,Extremely important,2,2,41-50 years,Male,White,United States
5,Extremely important,5,5,22-25 years,Female,White,United States
1,Extremely important,1,2,31-40 years,Female,I’d prefer not to say,Argentina
2,Extremely important,1,1,51-60 years,Female,I prefer to self-describe,Australia
2,Extremely important,1,2,31-40 years,Female,White,Australia
1,Extremely important,4,4,41-50 years,Female,Asian,India
1,Extremely important,1,1,51-60 years,Male,Asian,"China, Republic of"
2,Extremely important,1,1,31-40 years,Male,Asian,Indonesia
4,Extremely important,4,5,26-30 years,Female,Asian,Singapore
2,Extremely important,1,1,31-40 years,Male,Hispanic / Latino,Ecuador
3,Extremely important,4,4,31-40 years,Female,White,United States
2,Extremely important,1,1,31-40 years,Female,I’d prefer not to say,Taiwan
4,Extremely important,2,2,31-40 years,Male,White,Australia
5,Extremely important,5,4,41-50 years,Male,Asian,India
4,Extremely important,4,5,22-25 years,Female,Hispanic / Latino,United States
5,Extremely important,4,5,31-40 years,Male,White,United States
2,Extremely important,1,1,41-50 years,Female,Hispanic / Latino,United States
2,Extremely important,4,4,41-50 years,Female,White,Poland
2,Extremely important,1,4,31-40 years,Female,Asian,"Korea, South"
5,Extremely important,2,4,51-60 years,Female,White,Germany
2,Extremely important,1,1,31-40 years,Male,Asian,India
1,Extremely important,1,2,41-50 years,Female,White,Australia
2,Extremely important,1,1,31-40 years,Female,White,Germany
2,Extremely important,2,2,51-60 years,Male,White,Germany
4,Extremely important,4,4,41-50 years,Female,White,Spain
5,Extremely important,2,4,41-50 years,Female,I prefer to self-describe,Israel
3,Extremely important,1,1,51-60 years,Male,White,Spain
4,Extremely important,4,5,31-40 years,Female,White,Germany
4,Extremely important,4,5,31-40 years,Female,White,Germany
4,Extremely important,2,4,51-60 years,Female,White,Australia
2,Extremely important,1,1,31-40 years,Female,White,United Kingdom
4,Extremely important,2,4,31-40 years,Female,Asian,India
4,Extremely important,1,4,31-40 years,Female,White,Spain
4,Extremely important,2,2,51-60 years,Male,White,France
1,Extremely important,1,1,51-60 years,Female,White,Spain
2,Extremely important,1,1,51-60 years,Female,White,United Kingdom
2,Extremely important,1,4,26-30 years,Female,I’d prefer not to say,India
2,Extremely important,1,1,51-60 years,Male,White,Germany
2,Extremely important,1,1,22-25 years,Male,Asian,Australia
5,Extremely important,4,4,41-50 years,Male,White,Netherlands
4,Extremely important,5,5,41-50 years,Female,White,Germany
3,Extremely important,1,4,51-60 years,Female,White,Italy
2,Extremely important,1,1,I’d prefer not to say,I’d prefer not to say,I’d prefer not to say,Italy
4,Extremely important,2,4,51-60 years,Male,White,Australia
4,Extremely important,2,5,41-50 years,Female,White,Portugal
5,Extremely important,4,4,31-40 years,Female,I prefer to self-describe,Sweden
5,Extremely important,1,4,31-40 years,Female,White,Germany
5,Extremely important,4,4,51-60 years,Female,White,Cameroon
2,Extremely important,1,4,31-40 years,Female,White,Italy
4,Extremely important,1,4,41-50 years,Female,Asian,United Kingdom
4,Extremely important,4,5,26-30 years,Female,White,Ireland
4,Extremely important,2,5,31-40 years,Female,Hispanic / Latino,France
5,Extremely important,5,5,31-40 years,Female,White,Germany
5,Extremely important,4,4,31-40 years,Female,White,United Kingdom
4,Extremely important,4,5,41-50 years,Male,Asian,South Africa
5,Extremely important,4,4,41-50 years,Male,White,Italy
2,Extremely important,1,1,31-40 years,Female,White,United Kingdom
2,Extremely important,1,2,41-50 years,Female,White,United Kingdom
2,Extremely important,2,2,31-40 years,Male,White,United Kingdom
2,Extremely important,2,2,51-60 years,Female,White,United Kingdom
2,Extremely important,2,2,41-50 years,Female,White,Slovakia
1,Extremely important,1,1,51-60 years,Female,I prefer to self-describe,Spain
4,Extremely important,4,2,41-50 years,Female,White,United Kingdom
4,Extremely important,1,2,31-40 years,Female,Hispanic / Latino,Mexico
4,Extremely important,2,4,31-40 years,Female,White,Sweden
4,Extremely important,1,4,41-50 years,Male,Hispanic / Latino,Venezuela
5,Extremely important,4,4,26-30 years,Female,Asian,United States
5,Extremely important,4,4,31-40 years,Female,White,Germany
2,Extremely important,1,2,41-50 years,Female,White,Portugal
2,Extremely important,2,1,41-50 years,Female,White,United Kingdom
2,Extremely important,1,2,51-60 years,Female,White,United States
4,Extremely important,4,4,31-40 years,Female,White,Switzerland
1,Extremely important,1,1,41-50 years,Male,White,Italy
5,Extremely important,4,5,31-40 years,Male,White,Cyprus
5,Extremely important,4,4,31-40 years,Female,White,United States
2,Extremely important,2,1,41-50 years,Female,White,Canada
4,Extremely important,2,2,31-40 years,Male,Asian,United Kingdom
2,Extremely important,4,1,31-40 years,Female,White,United States
4,Extremely important,2,2,31-40 years,Female,Hispanic / Latino,Uruguay
5,Extremely important,5,4,41-50 years,Male,Mixed ethnicity,Brazil
4,Extremely important,2,2,26-30 years,Male,Asian,Japan
4,Extremely important,4,4,26-30 years,Male,White,Australia
4,Extremely important,4,5,26-30 years,Female,Asian,Australia
4,Extremely important,5,4,31-40 years,Female,Hispanic / Latino,Mexico
4,Extremely important,4,4,26-30 years,Female,White,Australia
4,Extremely important,5,4,41-50 years,Male,White,Japan
4,Extremely important,2,1,31-40 years,Male,White,Hungary
1,Extremely important,1,2,41-50 years,Female,White,Spain
2,Extremely important,2,2,31-40 years,Female,White,United Kingdom
4,Extremely important,2,4,22-25 years,Male,White,Germany
4,Extremely important,1,4,22-25 years,Male,White,Turkey
5,Extremely important,4,4,31-40 years,Male,White,Sweden
4,Extremely important,4,4,31-40 years,Female,White,France
1,Extremely important,1,5,31-40 years,Female,I’d prefer not to say,Spain
2,Extremely important,1,1,41-50 years,Female,White,Croatia
5,Extremely important,2,5,51-60 years,Female,White,United States
2,Extremely important,2,4,26-30 years,Female,White,United States
4,Extremely important,4,4,51-60 years,Male,Black / African American / Caribbean,Jamaica
1,Extremely important,1,4,31-40 years,Male,Asian,India
2,Extremely important,2,5,31-40 years,Male,White,United States
5,Extremely important,4,4,31-40 years,Male,Asian,United States
2,Extremely important,1,2,51-60 years,Male,White,Hungary
2,Extremely important,2,2,41-50 years,Male,White,United Kingdom
5,Extremely important,5,5,31-40 years,Female,White,United States
4,Extremely important,4,5,31-40 years,Male,White,United States
1,Extremely important,1,1,31-40 years,Male,Asian,Germany
2,Extremely important,1,1,41-50 years,Female,I’d prefer not to say,Japan
4,Extremely important,4,5,41-50 years,Male,I’d prefer not to say,United States
1,Extremely important,1,1,31-40 years,Male,White,United Kingdom
5,Extremely important,4,5,41-50 years,Female,White,Germany
5,Extremely important,5,5,26-30 years,Female,White,Italy
1,Extremely important,5,5,51-60 years,Male,Asian,Pakistan
2,Extremely important,2,4,41-50 years,Male,Asian,India
2,Extremely important,2,4,31-40 years,Female,White,United Kingdom
4,Extremely important,2,2,31-40 years,Female,White,United Kingdom
2,Extremely important,2,2,31-40 years,Female,White,Norway
4,Extremely important,2,2,26-30 years,Female,Mixed ethnicity,France
4,Extremely important,4,4,31-40 years,Male,White,Finland
4,Extremely important,2,4,26-30 years,Female,White,South Africa
2,Extremely important,2,2,51-60 years,Male,White,United Kingdom
4,Extremely important,4,2,41-50 years,Female,White,United Kingdom
4,Extremely important,4,2,31-40 years,Female,Asian,Canada
4,Extremely important,1,4,31-40 years,Female,Hispanic / Latino,Germany
1,Extremely important,1,2,41-50 years,Female,Hispanic / Latino,Brazil
1,Extremely important,1,1,31-40 years,Male,White,United States
2,Extremely important,2,1,31-40 years,Male,White,United States
1,Extremely important,1,2,31-40 years,Female,White,United States
4,Extremely important,4,4,26-30 years,Male,Asian,United States
2,Extremely important,4,4,31-40 years,Female,Asian,Germany
1,Extremely important,1,1,41-50 years,Female,White,United Kingdom
2,Extremely important,4,4,41-50 years,Male,White,United Kingdom
2,Extremely important,2,2,31-40 years,Male,White,United Kingdom
3,Extremely important,2,2,41-50 years,Female,White,United States
2,Extremely important,2,1,26-30 years,Female,White,United Kingdom
5,Extremely important,5,4,51-60 years,Male,Hispanic / Latino,United States
1,Extremely important,1,2,41-50 years,Male,White,Canada
5,Extremely important,5,5,26-30 years,Male,White,United States
2,Extremely important,4,1,31-40 years,Female,White,United States
5,Extremely important,4,5,31-40 years,Male,White,United States
2,Extremely important,2,2,51-60 years,Male,White,Greece
2,Extremely important,1,2,31-40 years,Male,White,United States
1,Extremely important,4,1,41-50 years,Female,Hispanic / Latino,United Kingdom
1,Extremely important,2,2,26-30 years,I’d prefer not to say,I’d prefer not to say,United States
4,Extremely important,1,4,I’d prefer not to say,I’d prefer not to say,I’d prefer not to say,United Kingdom
1,Extremely important,1,1,31-40 years,Female,Asian,India
3,Extremely important,2,2,41-50 years,Male,White,United States
4,Extremely important,4,4,31-40 years,Male,Asian,United Kingdom
3,Extremely important,4,4,31-40 years,Male,Black / African American / Caribbean,United States
4,Extremely important,5,2,22-25 years,Female,White,United States
2,Extremely important,2,2,41-50 years,Male,I’d prefer not to say,India
1,Extremely important,1,1,51-60 years,Male,White,United Kingdom
4,Extremely important,4,4,31-40 years,Female,Hispanic / Latino,United States
4,Extremely important,4,4,31-40 years,Female,Asian,United States
2,Extremely important,2,2,31-40 years,Female,Asian,United States
2,Extremely important,1,1,51-60 years,Female,White,United States
2,Extremely important,1,2,31-40 years,Female,Mixed ethnicity,Qatar
2,Extremely important,1,5,26-30 years,Male,Hispanic / Latino,Mexico
1,Extremely important,1,1,41-50 years,Male,I’d prefer not to say,Sweden
5,Extremely important,4,4,31-40 years,Male,Asian,United States
4,Extremely important,5,5,31-40 years,Female,White,United States
2,Extremely important,1,5,31-40 years,Male,Mixed ethnicity,Spain
3,Extremely important,5,5,26-30 years,Female,Asian,Germany
5,Extremely important,5,4,31-40 years,Female,Black / African American / Caribbean,Brazil
1,Extremely important,1,1,51-60 years,Female,I prefer to self-describe,India
2,Extremely important,1,4,31-40 years,Male,Asian,Canada
4,Extremely important,5,5,41-50 years,Female,White,Turkey
4,Extremely important,1,2,31-40 years,Female,White,United States
1,Extremely important,4,2,31-40 years,Male,Hispanic / Latino,Brazil
2,Extremely important,1,4,31-40 years,Male,Asian,India
2,Extremely important,2,2,41-50 years,Male,Mixed ethnicity,Australia
1,Extremely important,1,1,31-40 years,Female,White,Netherlands
5,Extremely important,5,4,26-30 years,Female,White,Australia
4,Extremely important,2,2,31-40 years,Female,White,United States
2,Extremely important,1,1,31-40 years,Male,Asian,United States
2,Extremely important,1,1,31-40 years,Female,Asian,Japan
2,Extremely important,2,2,31-40 years,Male,Asian,United States
2,Extremely important,2,1,61-70 years,Male,Asian,India
5,Extremely important,5,4,26-30 years,Male,Asian,United States
1,Extremely important,1,1,I’d prefer not to say,Female,Hispanic / Latino,United States
3,Extremely important,4,4,31-40 years,Male,Asian,United States
3,Extremely important,1,2,31-40 years,Female,White,South Africa
2,Extremely important,4,4,41-50 years,Male,Asian,Pakistan
4,Extremely important,1,2,31-40 years,Female,White,Norway
2,Extremely important,1,1,31-40 years,Female,Asian,United States
1,Extremely important,1,1,22-25 years,Male,Asian,India
4,Extremely important,1,4,31-40 years,Male,White,Italy
4,Extremely important,5,4,31-40 years,Male,White,Poland
5,Extremely important,4,4,61-70 years,Female,White,Netherlands
2,Extremely important,4,5,31-40 years,Female,White,Switzerland
4,Extremely important,2,2,41-50 years,Female,Black / African American / Caribbean,United Kingdom
4,Extremely important,2,5,26-30 years,Female,White,United Kingdom
4,Extremely important,4,5,51-60 years,Female,White,France
2,Extremely important,1,1,41-50 years,Female,White,Sweden
4,Extremely important,1,4,41-50 years,Male,White,France
2,Extremely important,2,2,41-50 years,Female,I’d prefer not to say,United Kingdom
4,Extremely important,4,5,26-30 years,Female,I’d prefer not to say,United Kingdom
5,Extremely important,5,5,26-30 years,Male,White,United States
4,Extremely important,2,2,31-40 years,Male,Asian,Saudi Arabia
2,Extremely important,1,2,26-30 years,Male,Asian,Sweden
4,Extremely important,2,4,31-40 years,Female,White,United States
2,Extremely important,4,5,41-50 years,Female,Asian,United States
2,Extremely important,1,2,41-50 years,Male,White,United Kingdom
2,Extremely important,4,5,31-40 years,Female,Black / African American / Caribbean,Kenya
1,Extremely important,2,1,31-40 years,Male,White,United States
4,Extremely important,4,4,31-40 years,Female,White,United States
5,Extremely important,4,4,31-40 years,Male,Asian,United States
2,Extremely important,4,4,26-30 years,Female,Black / African American / Caribbean,Canada
2,Extremely important,1,1,51-60 years,Male,White,Canada
4,Extremely important,4,5,31-40 years,Male,White,France
4,Extremely important,1,4,22-25 years,Male,White,United Kingdom
1,Extremely important,1,1,31-40 years,Male,White,France
4,Extremely important,2,4,41-50 years,Male,White,France
5,Extremely important,4,4,31-40 years,Male,White,France
2,Extremely important,1,1,31-40 years,Male,Black / African American / Caribbean,"China, Republic of"
1,Extremely important,4,5,41-50 years,Male,Hispanic / Latino,Mexico
2,Extremely important,2,4,31-40 years,Male,White,United States
4,Extremely important,4,5,26-30 years,Female,White,United Kingdom
1,Extremely important,1,1,31-40 years,Male,Asian,Canada
5,Extremely important,4,4,31-40 years,Female,White,United States
1,Extremely important,1,1,26-30 years,Female,I prefer to self-describe,United Kingdom
2,Extremely important,1,2,26-30 years,Male,Asian,United States
1,Extremely important,1,2,31-40 years,Male,White,United States
5,Extremely important,5,5,51-60 years,Male,Asian,United Kingdom
4,Extremely important,2,4,31-40 years,Male,White,Poland
4,Extremely important,2,4,31-40 years,Female,White,Belgium
2,Extremely important,1,1,41-50 years,Female,White,Portugal
4,Extremely important,4,4,26-30 years,I’d prefer not to say,I’d prefer not to say,United States
2,Extremely important,1,2,31-40 years,Male,White,Portugal
2,Extremely important,2,4,31-40 years,Male,Asian,Israel
4,Extremely important,4,2,41-50 years,Female,White,Italy
5,Extremely important,5,5,31-40 years,Male,Hispanic / Latino,United States
4,Extremely important,5,4,26-30 years,Female,White,United Kingdom
2,Extremely important,2,1,31-40 years,Male,Asian,United States
5,Extremely important,2,2,61-70 years,Male,White,United States
5,Extremely important,4,4,41-50 years,Male,White,United States
5,Extremely important,1,4,26-30 years,Female,White,United States
4,Extremely important,2,2,31-40 years,Female,White,Turkey
4,Extremely important,4,4,41-50 years,Female,White,United Kingdom
2,Extremely important,2,2,41-50 years,Male,Asian,United States
2,Extremely important,1,2,31-40 years,Male,White,Finland
1,Extremely important,2,1,31-40 years,Female,Asian,United States
1,Extremely important,1,1,26-30 years,Female,White,United States
3,Extremely important,4,2,31-40 years,Female,White,United Kingdom
5,Extremely important,4,5,31-40 years,Male,White,United States
1,Extremely important,1,2,31-40 years,Female,White,United Kingdom
5,Extremely important,5,5,31-40 years,Female,I prefer to self-describe,United States
5,Extremely important,5,4,41-50 years,Male,White,United Kingdom
4,Extremely important,2,1,31-40 years,Female,Hispanic / Latino,United States
2,Extremely important,1,4,26-30 years,Male,Black / African American / Caribbean,Ghana
2,Extremely important,1,5,31-40 years,Male,White,Finland
4,Extremely important,1,2,41-50 years,Female,White,Spain
4,Extremely important,4,5,26-30 years,Female,Mixed ethnicity,United Kingdom
1,Extremely important,2,1,31-40 years,Male,White,Switzerland
5,Extremely important,4,5,31-40 years,Female,Hispanic / Latino,Switzerland
2,Extremely important,1,1,26-30 years,Female,White,Portugal
2,Extremely important,2,1,31-40 years,Male,White,Estonia
4,Extremely important,2,5,41-50 years,Male,White,Brazil
4,Extremely important,1,2,31-40 years,Female,Asian,Malaysia
4,Extremely important,5,4,31-40 years,Male,Asian,"China, Republic of"
4,Extremely important,1,1,31-40 years,Male,White,Brazil
4,Extremely important,2,4,31-40 years,Male,White,Japan
4,Extremely important,2,4,31-40 years,Female,White,United Kingdom
4,Extremely important,2,1,51-60 years,Female,White,United States
5,Extremely important,5,5,51-60 years,Female,White,Australia
4,Extremely important,2,4,31-40 years,Male,White,United Kingdom
5,Extremely important,4,5,26-30 years,Female,White,United Kingdom
4,Extremely important,2,2,26-30 years,Female,White,United Kingdom
2,Extremely important,1,4,31-40 years,Female,White,United Kingdom
5,Extremely important,4,5,31-40 years,Female,White,United Kingdom
4,Extremely important,2,4,41-50 years,Male,White,Egypt
1,Extremely important,2,2,51-60 years,Male,White,United Kingdom
2,Extremely important,2,1,61-70 years,Male,White,United Kingdom
1,Extremely important,1,1,41-50 years,Male,White,United States
4,Extremely important,4,4,31-40 years,Female,White,United Kingdom
1,Extremely important,1,1,31-40 years,Male,I prefer to self-describe,Turkey
1,Extremely important,4,4,26-30 years,Female,White,Switzerland
4,Extremely important,2,2,26-30 years,Male,Asian,Taiwan
4,Extremely important,1,2,61-70 years,Male,White,United States
2,Extremely important,2,1,31-40 years,Female,White,United Kingdom
5,Extremely important,4,4,22-25 years,Male,Asian,United Kingdom
1,Extremely important,4,4,41-50 years,Male,Asian,Pakistan
5,Extremely important,4,4,31-40 years,Female,White,Germany
